NP_009349.3	GCF_0001460452	1	YEAST
NP_009447.1	GCF_0001460452	1	YEAST
NP_009487.2	GCF_0001460452	1	YEAST
NP_009499.1	GCF_0001460452	1	YEAST
NP_009501.1	GCF_0001460452	1	YEAST
NP_009532.1	GCF_0001460452	1	YEAST
NP_009545.2	GCF_0001460452	1	YEAST
NP_009548.1	GCF_0001460452	1	YEAST
NP_009589.1	GCF_0001460452	1	YEAST
NP_009605.1	GCF_0001460452	1	YEAST
NP_009622.1	GCF_0001460452	1	YEAST
NP_009637.1	GCF_0001460452	1	YEAST
NP_009639.3	GCF_0001460452	1	YEAST
NP_009661.1	GCF_0001460452	1	YEAST
NP_009670.3	GCF_0001460452	1	YEAST
NP_009708.1	GCF_0001460452	1	YEAST
NP_009741.3	GCF_0001460452	1	YEAST
NP_009754.1	GCF_0001460452	1	YEAST
NP_009774.4	GCF_0001460452	1	YEAST
NP_009798.3	GCF_0001460452	1	YEAST
NP_009799.3	GCF_0001460452	1	YEAST
NP_009804.1	GCF_0001460452	1	YEAST
NP_009834.4	GCF_0001460452	1	YEAST
NP_009848.4	GCF_0001460452	1	YEAST
NP_009856.3	GCF_0001460452	1	YEAST
NP_009873.1	GCF_0001460452	1	YEAST
NP_009876.1	GCF_0001460452	1	YEAST
NP_009991.2	GCF_0001460452	1	YEAST
NP_010004.1	GCF_0001460452	1	YEAST
NP_010007.1	GCF_0001460452	1	YEAST
NP_010031.1	GCF_0001460452	1	YEAST
NP_010111.1	GCF_0001460452	1	YEAST
NP_010143.1	GCF_0001460452	1	YEAST
NP_010177.1	GCF_0001460452	1	YEAST
NP_010213.1	GCF_0001460452	1	YEAST
NP_010227.1	GCF_0001460452	1	YEAST
NP_010235.1	GCF_0001460452	1	YEAST
NP_010242.1	GCF_0001460452	1	YEAST
NP_010264.3	GCF_0001460452	1	YEAST
NP_010292.1	GCF_0001460452	1	YEAST
NP_010317.3	GCF_0001460452	1	YEAST
NP_010328.3	GCF_0001460452	1	YEAST
NP_010334.1	GCF_0001460452	1	YEAST
NP_010358.3	GCF_0001460452	1	YEAST
NP_010366.1	GCF_0001460452	1	YEAST
NP_010381.1	GCF_0001460452	1	YEAST
NP_010408.1	GCF_0001460452	1	YEAST
NP_010430.1	GCF_0001460452	1	YEAST
NP_010453.1	GCF_0001460452	1	YEAST
NP_010458.3	GCF_0001460452	1	YEAST
NP_010459.1	GCF_0001460452	1	YEAST
NP_010461.3	GCF_0001460452	1	YEAST
NP_010477.3	GCF_0001460452	1	YEAST
NP_010493.1	GCF_0001460452	1	YEAST
NP_010499.1	GCF_0001460452	1	YEAST
NP_010502.3	GCF_0001460452	1	YEAST
NP_010539.1	GCF_0001460452	1	YEAST
NP_010545.3	GCF_0001460452	1	YEAST
NP_010563.3	GCF_0001460452	1	YEAST
NP_010596.1	GCF_0001460452	1	YEAST
NP_010650.1	GCF_0001460452	1	YEAST
NP_010680.1	GCF_0001460452	1	YEAST
NP_010709.1	GCF_0001460452	1	YEAST
NP_010711.3	GCF_0001460452	1	YEAST
NP_010731.3	GCF_0001460452	1	YEAST
NP_010736.3	GCF_0001460452	1	YEAST
NP_010739.3	GCF_0001460452	1	YEAST
NP_010751.4	GCF_0001460452	1	YEAST
NP_010765.3	GCF_0001460452	1	YEAST
NP_010768.1	GCF_0001460452	1	YEAST
NP_010789.1	GCF_0001460452	1	YEAST
NP_010808.3	GCF_0001460452	1	YEAST
NP_010858.3	GCF_0001460452	1	YEAST
NP_010907.3	GCF_0001460452	1	YEAST
NP_010909.1	GCF_0001460452	1	YEAST
NP_010945.1	GCF_0001460452	1	YEAST
NP_010958.3	GCF_0001460452	1	YEAST
NP_010964.3	GCF_0001460452	1	YEAST
NP_010971.1	GCF_0001460452	1	YEAST
NP_010991.3	GCF_0001460452	1	YEAST
NP_011012.3	GCF_0001460452	1	YEAST
NP_011036.1	GCF_0001460452	1	YEAST
NP_011056.1	GCF_0001460452	1	YEAST
NP_011088.1	GCF_0001460452	1	YEAST
NP_011096.1	GCF_0001460452	1	YEAST
NP_011111.1	GCF_0001460452	1	YEAST
NP_011260.1	GCF_0001460452	1	YEAST
NP_011262.1	GCF_0001460452	1	YEAST
NP_011270.1	GCF_0001460452	1	YEAST
NP_011277.1	GCF_0001460452	1	YEAST
NP_011306.1	GCF_0001460452	1	YEAST
NP_011318.2	GCF_0001460452	1	YEAST
NP_011334.1	GCF_0001460452	1	YEAST
NP_011349.3	GCF_0001460452	1	YEAST
NP_011353.1	GCF_0001460452	1	YEAST
